from,to,is,from_lat,from_long,to_lat,to_long
Волгоград,Екатеринбург,0,48.734359999999995,44.54984,56.83205,60.57533000000001
Волгоград,Казань,0,48.734359999999995,44.54984,55.82075,49.16086
Волгоград,Калининград,0,48.734359999999995,44.54984,54.69795,20.53387
Волгоград,Москва,1,48.734359999999995,44.54984,55.71566,37.55532
Волгоград,Нижний Новгород,0,48.734359999999995,44.54984,56.33622,43.96111
Волгоград,Ростов-на-Дону,0,48.734359999999995,44.54984,47.20923,39.73833
Волгоград,Самара,0,48.734359999999995,44.54984,53.27814,50.20375
Волгоград,Санкт-Петербург,0,48.734359999999995,44.54984,59.97261999999999,30.22227
Волгоград,Саранск,0,48.734359999999995,44.54984,54.181569999999994,45.20373
Волгоград,Сочи,0,48.734359999999995,44.54984,43.401990000000005,39.95556
Екатеринбург,Казань,0,56.83205,60.57533000000001,55.82075,49.16086
Екатеринбург,Калининград,0,56.83205,60.57533000000001,54.69795,20.53387
Екатеринбург,Москва,1,56.83205,60.57533000000001,55.71566,37.55532
Екатеринбург,Нижний Новгород,0,56.83205,60.57533000000001,56.33622,43.96111
Екатеринбург,Ростов-на-Дону,0,56.83205,60.57533000000001,47.20923,39.73833
Екатеринбург,Самара,0,56.83205,60.57533000000001,53.27814,50.20375
Екатеринбург,Санкт-Петербург,0,56.83205,60.57533000000001,59.97261999999999,30.22227
Екатеринбург,Саранск,0,56.83205,60.57533000000001,54.181569999999994,45.20373
Екатеринбург,Сочи,0,56.83205,60.57533000000001,43.401990000000005,39.95556
Казань,Калининград,0,55.82075,49.16086,54.69795,20.53387
Казань,Москва,1,55.82075,49.16086,55.71566,37.55532
Казань,Нижний Новгород,0,55.82075,49.16086,56.33622,43.96111
Казань,Ростов-на-Дону,0,55.82075,49.16086,47.20923,39.73833
Казань,Самара,0,55.82075,49.16086,53.27814,50.20375
Казань,Санкт-Петербург,1,55.82075,49.16086,59.97261999999999,30.22227
Казань,Саранск,0,55.82075,49.16086,54.181569999999994,45.20373
Казань,Сочи,0,55.82075,49.16086,43.401990000000005,39.95556
Калининград,Москва,1,54.69795,20.53387,55.71566,37.55532
Калининград,Нижний Новгород,0,54.69795,20.53387,56.33622,43.96111
Калининград,Ростов-на-Дону,0,54.69795,20.53387,47.20923,39.73833
Калининград,Самара,0,54.69795,20.53387,53.27814,50.20375
Калининград,Санкт-Петербург,1,54.69795,20.53387,59.97261999999999,30.22227
Калининград,Саранск,0,54.69795,20.53387,54.181569999999994,45.20373
Калининград,Сочи,0,54.69795,20.53387,43.401990000000005,39.95556
Москва,Нижний Новгород,1,55.71566,37.55532,56.33622,43.96111
Москва,Ростов-на-Дону,1,55.71566,37.55532,47.20923,39.73833
Москва,Самара,1,55.71566,37.55532,53.27814,50.20375
Москва,Санкт-Петербург,1,55.71566,37.55532,59.97261999999999,30.22227
Москва,Саранск,1,55.71566,37.55532,54.181569999999994,45.20373
Москва,Сочи,1,55.71566,37.55532,43.401990000000005,39.95556
Нижний Новгород,Ростов-на-Дону,0,56.33622,43.96111,47.20923,39.73833
Нижний Новгород,Самара,0,56.33622,43.96111,53.27814,50.20375
Нижний Новгород,Санкт-Петербург,1,56.33622,43.96111,59.97261999999999,30.22227
Нижний Новгород,Саранск,0,56.33622,43.96111,54.181569999999994,45.20373
Нижний Новгород,Сочи,0,56.33622,43.96111,43.401990000000005,39.95556
Ростов-на-Дону,Самара,0,47.20923,39.73833,53.27814,50.20375
Ростов-на-Дону,Санкт-Петербург,1,47.20923,39.73833,59.97261999999999,30.22227
Ростов-на-Дону,Саранск,0,47.20923,39.73833,54.181569999999994,45.20373
Ростов-на-Дону,Сочи,0,47.20923,39.73833,43.401990000000005,39.95556
Самара,Санкт-Петербург,0,53.27814,50.20375,59.97261999999999,30.22227
Самара,Саранск,0,53.27814,50.20375,54.181569999999994,45.20373
Самара,Сочи,0,53.27814,50.20375,43.401990000000005,39.95556
Санкт-Петербург,Саранск,0,59.97261999999999,30.22227,54.181569999999994,45.20373
Санкт-Петербург,Сочи,0,59.97261999999999,30.22227,43.401990000000005,39.95556
Саранск,Сочи,0,54.181569999999994,45.20373,43.401990000000005,39.95556
