;date;n;stage;city;team_1;team_2;rank;coef
0;14 06 2018;матч 1;групповой этап;Москва, «Лужники»;Россия;Саудовская Аравия;1;0.95
1;15 06 2018;матч 2;групповой этап;Екатеринбург;Египет;Уругвай;0.5;0.4
2;15 06 2018;матч 3;групповой этап;Сочи;Португалия;Испания;0.7;0.4
3;15 06 2018;матч 4;групповой этап;Санкт-Петербург;Марокко;Иран;0.4;0.3
4;16 06 2018;матч 5;групповой этап;Казань;Франция;Австралия;0.7;0.8
5;16 06 2018;матч 6;групповой этап;Саранск;Перу;Дания;0.3;0.4
6;16 06 2018;матч 7;групповой этап;Москва, «Спартак»;Аргентина;Исландия;1;0.5
7;16 06 2018;матч 8;групповой этап;Калининград;Хорватия;Нигерия;0.5;0.7
8;17 06 2018;матч 9;групповой этап;Ростов-на-Дону;Бразилия;Швейцария;1;0.5
9;17 06 2018;матч 10;групповой этап;Самара;Коста-Рика;Сербия;0.4;0.3
10;17 06 2018;матч 11;групповой этап;Москва, «Лужники»;Германия;Мексика;1;0.8
11;18 06 2018;матч 12;групповой этап;Нижний Новгород;Швеция;Южная Корея;0.4;0.75
12;18 06 2018;матч 13;групповой этап;Сочи;Бельгия;Панама;0.8;0.9
13;18 06 2018;матч 14;групповой этап;Волгоград;Тунис;Англия;0.8;0.2
14;19 06 2018;матч 15;групповой этап;Москва, «Спартак»;Польша;Сенегал;0.5;0.8
15;19 06 2018;матч 16;групповой этап;Саранск;Колумбия;Япония;0.2;0.5
16;19 06 2018;матч 17;групповой этап;Санкт-Петербург;Россия;Египет;1;0.8
17;20 06 2018;матч 18;групповой этап;Ростов-на-Дону;Уругвай;Саудовская Аравия;0.5;0.7
18;20 06 2018;матч 19;групповой этап;Москва, «Лужники»;Португалия;Марокко;1;0.65
19;20 06 2018;матч 20;групповой этап;Казань;Иран;Испания;1;0.3
20;21 06 2018;матч 21;групповой этап;Екатеринбург;Франция;Перу;1;0.75
21;21 06 2018;матч 22;групповой этап;Самара;Дания;Австралия;0.3;0.5
22;21 06 2018;матч 23;групповой этап;Нижний Новгород;Аргентина;Хорватия;1;0.4
23;22 06 2018;матч 24;групповой этап;Волгоград;Нигерия;Исландия;0.4;0.3
24;22 06 2018;матч 25;групповой этап;Санкт-Петербург;Бразилия;Коста-Рика;1;0.6
25;22 06 2018;матч 26;групповой этап;Калининград;Сербия;Швейцария;0.6;0.5
26;23 06 2018;матч 27;групповой этап;Сочи;Германия;Швеция;1;0.7
27;23 06 2018;матч 28;групповой этап;Ростов-на-Дону;Южная Корея;Мексика;0.5;0.5
28;23 06 2018;матч 29;групповой этап;Москва, «Спартак»;Бельгия;Тунис;0.3;0.7
29;24 06 2018;матч 30;групповой этап;Нижний Новгород;Англия;Панама;0.6;0.8
30;24 06 2018;матч 31;групповой этап;Казань;Польша;Колумбия;0.3;0.6
31;24 06 2018;матч 32;групповой этап;Екатеринбург;Япония;Сенегал;0;0.5
